Año,Mat_Total,Mat_Estatal,Mat_Privado,1º Año,2º Año,3º Año,4º Año,5º Año,6º Año,7º Año,Ushuaia,RG
2000,10593,7555,3038,2131,2038.0,1976.0,1847.0,1377.0,1224.0,0.0,…,…
2001,12357,9191,3166,2760,2447.0,2157.0,1919.0,1648.0,1235.0,191.0,…,…
2002,13115,9996,3119,3056,2774.0,2207.0,1847.0,1617.0,1384.0,230.0,…,…
2003,13276,10094,3182,2926,2907.0,2468.0,1997.0,1599.0,1379.0,0.0,…,…
2004,13553,10247,3306,2780,2974.0,2692.0,1984.0,1769.0,1354.0,0.0,…,…
2005,13980,10551,3429,2910,2986.0,2857.0,2083.0,1737.0,1407.0,0.0,…,…
2006,14281,10707,3574,3123,2942.0,2836.0,2189.0,1796.0,1395.0,0.0,…,…
2007,14383,10628,3755,3184,3044.0,2598.0,2226.0,1849.0,1482.0,0.0,…,…
2008,14762,10925,3837,3392,3111.0,2544.0,2321.0,1872.0,1522.0,0.0,…,…
2009,14996,11149,3847,3366,3176.0,2680.0,2385.0,1862.0,1527.0,0.0,6920,8076
2010,14918,11025,3893,3289,3088.0,2696.0,2318.0,1943.0,1584.0,0.0,6879,8039
2011,14935,10803,4132,3203,3116.0,2647.0,2419.0,1943.0,1607.0,0.0,6862,8073
2012,15265,10934,4331,3379,3128.0,2643.0,2444.0,2034.0,1637.0,0.0,6937,8328
2013,15701,11330,4371,3304,3347.0,2692.0,2418.0,2123.0,1817.0,0.0,7011,8690
2014,16089,11661,4428,3166,3404.0,2907.0,2455.0,2189.0,1959.0,9.0,7046,9043
2015,16109,11673,4436,3223,3255.0,2924.0,2576.0,2146.0,1963.0,22.0,6908,9201
2016,16402,11795,4607,3216,3316.0,2935.0,2633.0,2312.0,1934.0,56.0,6990,9412
2017,16713,12034,4679,3092,3352.0,2971.0,2642.0,2337.0,2068.0,251.0,7148,9565
2018,17096,12389,4707,3162,3298.0,3072.0,2738.0,2401.0,2165.0,260.0,7192,9904
2019,17251,12707,4544,3018,3230.0,3078.0,2908.0,2512.0,2225.0,280.0,7221,10030
2020,17685,13148,4537,3095,3160.0,3126.0,2930.0,2750.0,2329.0,295.0,7374,10311
2021,18139,13550,4589,3015,3071.0,3098.0,3100.0,2856.0,2681.0,318.0,7422,10717
2022,18045,13418,4627,3015,3125.0,2991.0,3031.0,2923.0,2607.0,353.0,7393,9996
